question_id,title,title_slug,difficulty,topics_joined,topic_count,solved_timestamp,solved_at_utc,link
401,Binary Watch,binary-watch,Easy,Backtracking|Bit Manipulation,2,0,,https://leetcode.com/problems/binary-watch/
393,UTF-8 Validation,utf-8-validation,Medium,Array|Bit Manipulation,2,0,,https://leetcode.com/problems/utf-8-validation/
383,Ransom Note,ransom-note,Easy,Hash Table|String|Counting,3,1772764525,2026-03-06T02:35:25+00:00,https://leetcode.com/problems/ransom-note/
268,Missing Number,missing-number,Easy,Array|Hash Table|Math|Binary Search|Bit Manipulation|Sorting,6,0,,https://leetcode.com/problems/missing-number/
204,Count Primes,count-primes,Medium,Array|Math|Enumeration|Number Theory,4,0,,https://leetcode.com/problems/count-primes/
195,Tenth Line,tenth-line,Easy,Shell,1,1772763500,2026-03-06T02:18:20+00:00,https://leetcode.com/problems/tenth-line/
194,Transpose File,transpose-file,Medium,Shell,1,1772765441,2026-03-06T02:50:41+00:00,https://leetcode.com/problems/transpose-file/
193,Valid Phone Numbers,valid-phone-numbers,Easy,Shell,1,1772765279,2026-03-06T02:47:59+00:00,https://leetcode.com/problems/valid-phone-numbers/
192,Word Frequency,word-frequency,Medium,Shell,1,1772765133,2026-03-06T02:45:33+00:00,https://leetcode.com/problems/word-frequency/
190,Reverse Bits,reverse-bits,Easy,Divide and Conquer|Bit Manipulation,2,0,,https://leetcode.com/problems/reverse-bits/
127,Word Ladder,word-ladder,Hard,Hash Table|String|Breadth-First Search,3,0,,https://leetcode.com/problems/word-ladder/
110,Balanced Binary Tree,balanced-binary-tree,Easy,Tree|Depth-First Search|Binary Tree,3,0,,https://leetcode.com/problems/balanced-binary-tree/
94,Binary Tree Inorder Traversal,binary-tree-inorder-traversal,Easy,Stack|Tree|Depth-First Search|Binary Tree,4,0,,https://leetcode.com/problems/binary-tree-inorder-traversal/
79,Word Search,word-search,Medium,Array|String|Backtracking|Depth-First Search|Matrix,5,0,,https://leetcode.com/problems/word-search/
67,Add Binary,add-binary,Easy,Math|String|Bit Manipulation|Simulation,4,0,,https://leetcode.com/problems/add-binary/
66,Plus One,plus-one,Easy,Array|Math,2,0,,https://leetcode.com/problems/plus-one/
44,Wildcard Matching,wildcard-matching,Hard,String|Dynamic Programming|Greedy|Recursion,4,0,,https://leetcode.com/problems/wildcard-matching/
32,Longest Valid Parentheses,longest-valid-parentheses,Hard,String|Dynamic Programming|Stack,3,0,,https://leetcode.com/problems/longest-valid-parentheses/
16,3Sum Closest,3sum-closest,Medium,Array|Two Pointers|Sorting,3,1772771035,2026-03-06T04:23:55+00:00,https://leetcode.com/problems/3sum-closest/
15,3Sum,3sum,Medium,Array|Two Pointers|Sorting,3,0,,https://leetcode.com/problems/3sum/
14,Longest Common Prefix,longest-common-prefix,Easy,Array|String|Trie,3,1772766310,2026-03-06T03:05:10+00:00,https://leetcode.com/problems/longest-common-prefix/
13,Roman to Integer,roman-to-integer,Easy,Hash Table|Math|String,3,0,,https://leetcode.com/problems/roman-to-integer/
11,Container With Most Water,container-with-most-water,Medium,Array|Two Pointers|Greedy,3,0,,https://leetcode.com/problems/container-with-most-water/
10,Regular Expression Matching,regular-expression-matching,Hard,String|Dynamic Programming|Recursion,3,0,,https://leetcode.com/problems/regular-expression-matching/
9,Palindrome Number,palindrome-number,Easy,Math,1,0,,https://leetcode.com/problems/palindrome-number/
4,Median of Two Sorted Arrays,median-of-two-sorted-arrays,Hard,Array|Binary Search|Divide and Conquer,3,0,,https://leetcode.com/problems/median-of-two-sorted-arrays/
3,Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters,Medium,Hash Table|String|Sliding Window,3,0,,https://leetcode.com/problems/longest-substring-without-repeating-characters/
2,Add Two Numbers,add-two-numbers,Medium,Linked List|Math|Recursion,3,0,,https://leetcode.com/problems/add-two-numbers/
1,Two Sum,two-sum,Easy,Array|Hash Table,2,0,,https://leetcode.com/problems/two-sum/
